"id","name","product_id","farmer_outlet_id","product_name","image_path","description","product_quality_id","product_quality_name","created_by","created_at","updated_at"
"11","ស្រូវផ្ការំដួល","1","8","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 02","2024-04-24 13:18:36","2024-04-24 13:18:36"
"12","ស្រូវផ្ការំដួល","1","9","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 02","2024-04-24 13:19:52","2024-04-24 13:19:52"
"13","ស្រូវផ្ការំដួល","1","10","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 02","2024-04-24 13:20:53","2024-04-24 13:20:53"
"14","ស្រូវផ្ការំដួល","1","11","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 02","2024-04-24 13:21:52","2024-04-24 13:21:52"
"15","ស្រូវផ្ការំដួល","1","12","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 03","2024-04-24 13:24:45","2024-04-24 13:24:45"
"16","ស្រូវផ្ការំដួល","1","13","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 03","2024-04-24 13:26:01","2024-04-24 13:26:01"
"17","ស្រូវផ្ការំដួល","1","14","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 03","2024-04-24 13:26:57","2024-04-24 13:26:57"
"18","ស្រូវផ្ការំដួល","1","15","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 03","2024-04-24 13:28:02","2024-04-24 13:28:02"
"19","ស្រូវផ្ការំដួល","1","16","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 03","2024-04-24 13:28:53","2024-04-24 13:28:53"
"20","ស្រូវសែនក្រអូប","2","17","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 04","2024-04-24 13:31:50","2024-04-24 13:31:50"
"21","ស្រូវសែនក្រអូប","2","18","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 04","2024-04-24 13:32:46","2024-04-24 13:32:46"
"22","ស្រូវសែនក្រអូប","2","19","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 04","2024-04-24 13:33:41","2024-04-24 13:33:41"
"23","ស្រូវសែនក្រអូប","2","20","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 04","2024-04-24 13:34:46","2024-04-24 13:34:46"
"24","ស្រូវសែនក្រអូប","2","21","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 04","2024-04-24 13:39:11","2024-04-24 13:39:11"
"25","ស្រូវសែនក្រអូប","2","22","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 05","2024-04-24 13:43:10","2024-04-24 13:43:10"
"26","ស្រូវសែនក្រអូប","2","23","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 05","2024-04-24 13:44:42","2024-04-24 13:44:42"
"27","ស្រូវសែនក្រអូប","2","24","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 05","2024-04-24 13:45:55","2024-04-24 13:45:55"
"28","ស្រូវសែនក្រអូប","2","25","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 05","2024-04-24 13:47:00","2024-04-24 13:47:00"
"29","ស្រូវសែនក្រអូប","2","26","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 05","2024-04-24 13:47:58","2024-04-24 13:47:58"
"30","ស្រូវសែនក្រអូប","2","27","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 06","2024-04-24 13:50:05","2024-04-24 13:50:05"
"31","ស្រូវសែនក្រអូប","2","28","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 06","2024-04-24 13:51:12","2024-04-24 13:51:12"
"32","ស្រូវសែនក្រអូប","2","29","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 06","2024-04-24 13:52:12","2024-04-24 13:52:12"
"33","ស្រូវសែនក្រអូប","2","30","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 06","2024-04-24 13:53:51","2024-04-24 13:53:51"
"34","ស្រូវសែនក្រអូប","2","31","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","Report 06","2024-04-24 14:00:40","2024-04-24 14:00:40"
"35","ស្រូវផ្កាខ្ញី","3","32","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 07","2024-04-24 14:02:48","2024-04-24 14:02:48"
"36","ស្រូវផ្កាខ្ញី","3","33","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 07","2024-04-24 14:03:44","2024-04-24 14:03:44"
"37","ស្រូវផ្កាខ្ញី","3","34","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 07","2024-04-24 14:04:50","2024-04-24 14:04:50"
